gene_id	ref_id
MSTRG.646	Solyc01g009990.3
MSTRG.647	Solyc01g010000.3
MSTRG.648	Solyc01g010020.3
MSTRG.649	Solyc01g010030.3
MSTRG.650	lnc_RNA:Solyc01r001580.1
MSTRG.651	lnc_RNA:Solyc01r001590.1
MSTRG.652	Solyc01g010050.3
MSTRG.653	Solyc01g010060.2
MSTRG.655	Solyc01g010080.3
MSTRG.657	Solyc01g010130.4
MSTRG.658	Solyc01g010150.3
MSTRG.660	Solyc01g010180.3
MSTRG.662	Solyc01g010185.1
MSTRG.663	lnc_RNA:Solyc01r001620.1
MSTRG.664	Solyc01g010215.1
MSTRG.665	Solyc01g010220.3
MSTRG.666	Solyc01g010230.2
MSTRG.667	Solyc01g010250.4
MSTRG.668	Solyc01g010270.3
MSTRG.669	Solyc01g010290.4
MSTRG.670	Solyc01g010310.4
MSTRG.671	Solyc01g010350.4
MSTRG.672	Solyc01g010370.3
MSTRG.673	Solyc01g010390.3
MSTRG.675	Solyc01g010440.4
MSTRG.677	Solyc01g010480.3
MSTRG.681	Solyc01g010510.4
MSTRG.683	Solyc01g010520.3
MSTRG.684	Solyc01g010540.3
MSTRG.685	Solyc01g010570.4
MSTRG.686	Solyc01g010580.3
MSTRG.687	Solyc01g010590.2
MSTRG.689	Solyc01g010640.3
MSTRG.690	Solyc01g010650.3
MSTRG.691	Solyc01g010660.3
MSTRG.692	Solyc01g010700.3
MSTRG.693	Solyc01g010710.4
MSTRG.694	Solyc01g010720.4
MSTRG.696	Solyc01g010750.4
MSTRG.697	Solyc01g010755.1
MSTRG.698	Solyc01g010760.3
MSTRG.700	Solyc01g010780.4
MSTRG.701	lnc_RNA:Solyc01r001680.1
MSTRG.703	Solyc01g010810.4
MSTRG.704	Solyc01g010820.3
MSTRG.705	Solyc01g010830.4
MSTRG.706	lnc_RNA:Solyc01r001700.1
MSTRG.708	Solyc01g010860.3
MSTRG.709	Solyc01g010870.3
MSTRG.710	Solyc01g010880.3
MSTRG.712	lnc_RNA:Solyc01r001740.1
MSTRG.714	Solyc01g010910.2
MSTRG.720	Solyc01g010940.3
MSTRG.721	Solyc01g010950.3
MSTRG.722	Solyc01g010970.3
MSTRG.723	lnc_RNA:Solyc01r001760.1
MSTRG.726	Solyc01g011000.3
MSTRG.727	lnc_RNA:Solyc01r001800.1
MSTRG.728	Solyc01g011005.1
MSTRG.729	Solyc01g011030.3
MSTRG.730	Solyc01g011040.3
MSTRG.731	Solyc01g011080.3
MSTRG.733	Solyc01g011105.1
MSTRG.734	Solyc01g011277.1
MSTRG.736	Solyc01g011340.3
MSTRG.737	Solyc01g011350.3
MSTRG.738	Solyc01g011410.2
MSTRG.739	lnc_RNA:Solyc01r002020.1
MSTRG.740	Solyc01g011413.1
MSTRG.742	Solyc01g011430.4
MSTRG.743	Solyc01g011500.1
MSTRG.744	lnc_RNA:Solyc01r002030.1
MSTRG.745	Solyc01g011510.4
MSTRG.746	Solyc01g012580.1
MSTRG.747	lnc_RNA:Solyc01r002040.1
MSTRG.749	lnc_RNA:Solyc01r002060.1
MSTRG.753	lnc_RNA:Solyc01r002160.1
MSTRG.754	Solyc01g014105.1
MSTRG.755	Solyc01g014140.3
MSTRG.757	Solyc01g014150.1
MSTRG.758	lnc_RNA:Solyc01r002180.1
MSTRG.759	Solyc01g014180.3
MSTRG.761	Solyc01g014220.3
MSTRG.762	Solyc01g014230.4
MSTRG.764	Solyc01g014250.2
MSTRG.765	Solyc01g014270.3
MSTRG.766	Solyc01g014275.1
MSTRG.768	Solyc01g014320.4
MSTRG.769	Solyc01g014373.1
MSTRG.770	lnc_RNA:Solyc01r002290.1
MSTRG.771	Solyc01g014470.1
MSTRG.772	Solyc01g014480.3
MSTRG.773	Solyc01g014490.4
MSTRG.777	Solyc01g014620.1
MSTRG.778	lnc_RNA:Solyc01r002340.1
MSTRG.780	Solyc01g014740.1
MSTRG.782	lnc_RNA:Solyc01r002380.1
MSTRG.783	Solyc01g014840.3
MSTRG.785	Solyc01g015000.3
