"transcript_id"	"gene_id"
"Solyc00g500172.1.1"	"Solyc00g500172.1"
"Solyc00g320430.1.1"	"Solyc00g320430.1"
"Solyc00g500173.1.1"	"Solyc00g500173.1"
"Solyc00g019750.1.1"	"MSTRG.81"
"Solyc00g019730.1.1"	"MSTRG.82"
"Solyc00g500174.1.1"	"Solyc00g500174.1"
"Solyc00g500175.1.1"	"Solyc00g500175.1"
"Solyc00g500176.1.1"	"Solyc00g500176.1"
"lnc_RNA:Solyc00r000070.1.1"	"lnc_RNA:Solyc00r000070.1"
"Solyc00g500177.1.1"	"Solyc00g500177.1"
"lnc_RNA:Solyc00r000080.1.1"	"lnc_RNA:Solyc00r000080.1"
"Solyc00g500178.1.1"	"Solyc00g500178.1"
"lnc_RNA:Solyc00r000090.1.1"	"lnc_RNA:Solyc00r000090.1"
"Solyc00g500179.1.1"	"Solyc00g500179.1"
"Solyc00g500180.1.1"	"Solyc00g500180.1"
"lnc_RNA:Solyc00r000100.1.1"	"lnc_RNA:Solyc00r000100.1"
"Solyc00g500181.1.1"	"MSTRG.83"
"MSTRG.83.2"	"MSTRG.83"
"Solyc00g500182.1.1"	"Solyc00g500182.1"
"Solyc00g118680.2.1"	"MSTRG.84"
"Solyc00g118690.1.1"	"MSTRG.85"
"Solyc00g023600.1.1"	"Solyc00g023600.1"
"Solyc00g023590.2.1"	"Solyc00g023590.2"
"Solyc00g023580.1.1"	"Solyc00g023580.1"
"Solyc00g023570.1.1"	"Solyc00g023570.1"
"Solyc00g014860.1.1"	"Solyc00g014860.1"
"Solyc00g014850.1.1"	"MSTRG.86"
"Solyc00g500183.1.1"	"MSTRG.87"
"Solyc00g500184.1.1"	"MSTRG.88"
"Solyc00g500185.1.1"	"MSTRG.89"
"Solyc00g014810.1.1"	"Solyc00g014810.1"
"Solyc00g014800.1.1"	"Solyc00g014800.1"
"Solyc00g014790.2.1"	"Solyc00g014790.2"
"Solyc00g094550.1.1"	"Solyc00g094550.1"
"Solyc00g094540.1.1"	"Solyc00g094540.1"
"Solyc00g094530.1.1"	"Solyc00g094530.1"
"Solyc00g094520.1.1"	"Solyc00g094520.1"
"Solyc00g023700.2.1"	"Solyc00g023700.2"
"Solyc00g023710.1.1"	"Solyc00g023710.1"
"Solyc00g049210.1.1"	"Solyc00g049210.1"
